dis,ang1,ang2,collision
31,172,126,1
51,203,9,1
55,130,179,1
59,203,80,0
35,351,153,1
62,227,113,0
20,51,67,1
45,179,247,1
25,262,39,1
29,214,257,1
23,86,269,1
31,213,183,1
43,277,244,1
32,330,258,1
59,172,59,1
60,96,359,1
31,75,136,1
39,179,314,1
37,188,101,1
59,355,317,1
54,26,68,1
53,171,98,1
63,332,343,1
27,188,299,1
64,140,69,0
45,165,185,1
26,268,337,1
18,124,64,1
38,79,231,1
23,256,168,1
61,66,346,1
28,105,175,1
33,168,337,1
37,120,169,1
39,171,248,1
46,148,28,1
22,113,296,1
36,294,275,1
32,1,285,1
47,186,216,1
30,327,238,1
34,65,304,1
62,91,269,1
26,185,352,1
32,209,87,1
24,11,125,1
62,165,119,1
41,145,126,1
44,274,346,1
26,89,356,1
22,295,220,1
48,143,130,1
38,282,81,0
23,134,247,1
38,164,118,1
35,261,358,1
43,47,180,1
36,253,212,1
18,263,263,1
44,140,123,1
64,44,30,1
20,356,347,1
38,294,159,1
37,259,215,1
20,234,342,1
27,337,127,1
20,306,105,1
22,124,167,1
47,142,235,1
55,139,291,1
60,27,105,0
32,176,275,1
45,110,322,1
38,46,36,1
28,263,32,1
34,92,254,1
54,109,255,1
21,81,155,1
47,273,169,1
21,255,167,1
46,228,165,1
48,278,338,1
59,87,3,1
41,287,308,1
32,207,334,1
60,330,70,0
58,326,42,1
28,192,331,1
56,20,81,1
40,39,298,1
54,266,177,1
42,36,151,1
59,27,325,1
44,216,203,1
61,292,306,1
64,128,134,1
58,137,327,1
58,284,258,1
54,52,261,1
47,260,309,1
53,33,49,1
49,359,265,1
25,135,277,1
59,253,65,0
45,160,37,1
42,107,41,1
20,238,189,1
46,206,301,1
49,123,227,1
45,29,212,1
31,132,235,1
55,295,353,1
43,301,94,0
47,250,37,0
42,101,185,1
30,209,190,1
35,202,40,1
45,330,35,1
64,349,246,1
56,202,13,1
34,278,323,1
56,277,250,1
18,135,267,1
60,270,34,0
53,146,145,1
58,107,12,1
44,347,252,1
61,156,10,1
63,339,2,1
52,314,254,1
48,238,74,0
64,269,83,0
59,215,309,1
60,34,291,1
41,21,259,1
52,267,187,1
37,341,356,1
24,138,245,1
32,233,25,1
60,144,95,1
37,242,61,0
26,164,16,1
29,338,140,1
51,320,300,1
34,287,124,1
65,266,5,0
30,301,20,1
64,176,254,1
57,240,3,1
44,290,91,0
43,201,117,1
57,112,3,1
47,210,223,1
29,313,98,1
42,254,204,1
24,317,4,1
45,286,251,1
22,344,152,1
55,349,353,1
41,122,57,1
19,309,337,1
31,175,190,1
26,271,143,1
56,275,63,0
27,167,147,1
42,107,353,1
51,126,52,1
19,202,321,1
60,55,98,1
55,180,339,1
62,42,22,1
22,321,47,1
23,111,235,1
24,263,253,1
62,189,249,1
65,78,109,1
31,23,72,1
22,16,89,1
44,93,74,1
55,105,270,1
63,181,330,1
33,210,205,1
33,307,259,1
33,10,233,1
27,156,237,1
36,202,142,1
62,189,226,1
45,252,332,1
48,247,311,1
38,193,155,1
45,323,177,1
41,258,32,1
59,98,223,1
47,180,185,1
61,1,148,1
34,15,6,1
62,230,46,0
52,64,8,1
20,215,165,1
18,120,213,1
60,275,166,0
36,293,182,1
58,104,193,1
29,279,249,1
23,48,186,1
23,58,87,1
25,148,132,1
57,75,191,1
51,17,342,1
36,356,103,1
49,261,249,1
51,177,264,1
31,18,110,1
52,133,315,1
51,102,22,1
59,206,248,1
25,32,235,1
33,280,345,1
20,329,201,1
28,35,206,1
43,211,59,1
29,339,328,1
48,332,238,1
59,4,42,1
27,211,92,1
25,329,237,1
57,20,286,1
30,38,139,1
26,236,7,1
44,293,197,1
27,7,148,1
39,86,175,1
43,246,165,1
38,213,88,1
28,113,322,1
32,315,219,1
37,299,70,1
47,214,165,1
41,246,276,1
47,173,141,1
61,52,251,1
59,252,112,0
42,119,2,1
47,129,101,1
64,26,247,1
52,27,60,1
59,263,76,0
24,311,60,1
46,229,288,1
54,118,207,1
21,357,98,1
52,289,200,1
56,100,40,1
45,11,60,1
49,322,198,1
63,174,212,1
47,87,86,1
54,148,188,1
64,193,236,1
43,55,144,1
41,48,306,1
31,104,351,1
36,114,235,1
41,299,75,1
46,30,81,1
37,8,181,1
60,234,86,0
42,304,299,1
39,59,25,1
20,332,228,1
33,205,257,1
28,225,274,1
59,10,196,1
37,287,56,1
27,196,222,1
51,33,103,1
59,269,257,1
56,154,89,1
38,181,137,1
36,23,40,1
56,215,212,1
31,351,120,1
56,256,112,0
31,260,163,1
52,125,9,1
41,190,125,1
28,187,47,1
18,128,262,1
44,217,201,1
48,194,37,1
58,86,5,1
40,110,88,1
21,76,292,1
47,75,57,1
44,125,335,1
23,2,313,1
39,251,258,1
22,161,120,1
29,194,160,1
47,97,175,1
52,173,244,1
45,42,131,1
59,22,58,1
25,285,81,1
58,200,242,1
38,91,323,1
62,198,121,1
20,165,154,1
60,22,81,1
35,204,213,1
26,79,123,1
44,294,171,1
22,296,208,1
36,98,358,1
26,36,17,1
44,267,22,1
32,200,213,1
57,143,46,1
58,192,115,1
41,298,251,1
47,147,298,1
54,321,33,1
26,308,308,1
51,184,273,1
47,301,155,1
64,315,162,0
45,304,125,0
38,115,58,1
36,322,176,1
44,259,277,1
61,237,124,0
48,109,181,1
51,344,334,1
55,295,137,0
36,208,41,1
44,333,212,1
27,348,210,1
51,320,172,1
50,320,111,0
31,196,251,1
63,154,127,1
43,2,335,1
28,147,37,1
43,13,268,1
25,162,73,1
58,218,58,0
65,194,156,1
42,332,218,1
55,275,50,0
44,182,107,1
24,252,92,1
38,132,233,1
55,69,357,1
38,170,80,1
42,9,259,1
24,328,33,1
53,42,143,1
51,323,120,0
45,17,222,1
54,145,188,1
64,288,89,0
62,352,276,1
27,60,44,1
18,162,338,1
53,78,261,1
59,276,276,1
45,4,89,1
47,259,142,1
32,100,30,1
23,225,356,1
45,255,168,1
23,193,48,1
36,58,206,1
43,281,136,0
24,231,357,1
29,41,30,1
39,99,61,1
57,337,71,0
43,186,121,1
33,226,329,1
31,131,178,1
65,289,295,1
52,297,249,1
47,257,172,1
40,35,162,1
20,145,243,1
55,240,139,1
39,281,217,1
53,270,66,0
26,307,172,1
48,14,266,1
38,5,93,1
23,150,333,1
62,316,235,1
24,95,104,1
34,307,75,1
30,107,28,1
51,111,149,1
47,270,165,1
58,166,332,1
30,281,172,1
60,311,198,1
53,216,28,0
21,41,190,1
37,307,94,1
36,17,187,1
25,198,165,1
42,184,63,1
34,104,3,1
32,172,211,1
46,89,173,1
40,330,319,1
31,183,136,1
57,111,163,1
45,201,129,1
20,177,75,1
20,50,351,1
37,42,267,1
50,86,75,1
23,267,326,1
20,232,74,1
57,98,123,1
31,134,14,1
51,178,278,1
62,334,265,1
38,216,36,1
22,153,2,1
49,262,62,0
45,61,157,1
27,238,239,1
42,340,224,1
44,298,30,1
36,288,51,1
48,117,337,1
28,141,85,1
36,304,197,1
24,351,244,1
45,58,337,1
63,165,49,1
55,69,306,1
25,46,319,1
24,271,342,1
54,266,360,1
41,321,6,1
20,264,79,1
55,121,325,1
42,115,247,1
20,281,57,1
61,285,238,1
39,84,165,1
58,189,308,1
56,279,62,0
42,59,248,1
28,291,72,1
38,199,222,1
25,134,266,1
21,78,7,1
36,147,162,1
40,96,182,1
41,65,250,1
26,354,66,1
39,279,185,1
45,269,211,1
35,80,85,1
53,258,177,1
28,130,242,1
36,245,117,1
64,92,90,0
30,330,17,1
23,247,202,1
59,0,224,1
48,1,164,1
22,276,108,1
56,72,317,1
21,248,28,1
61,159,288,1
36,57,143,1
57,148,12,1
41,240,82,0
53,206,123,1
51,122,250,1
23,85,337,1
47,324,359,1
51,262,164,1
20,360,186,1
57,116,53,1
58,22,166,1
52,73,338,1
64,337,123,0
33,34,295,1
22,290,48,1
23,301,209,1
60,329,264,1
63,305,169,0
61,269,109,0
51,31,330,1
19,346,217,1
19,142,182,1
32,287,341,1
38,311,50,1
44,291,252,1
20,22,120,1
28,42,293,1
23,31,181,1
28,80,224,1
27,99,149,1
45,300,274,1
61,91,255,1
32,348,175,1
18,312,211,1
65,65,355,1
54,1,273,1
39,245,194,1
43,270,267,1
39,350,130,1
64,142,120,1
36,86,102,1
33,341,36,1
58,109,293,1
29,253,249,1
27,220,133,1
57,62,125,1
23,60,122,1
62,329,209,1
18,324,300,1
19,148,351,1
22,88,102,1
34,348,51,1
33,306,54,1
25,3,280,1
20,289,196,1
44,272,165,1
62,97,320,1
41,3,343,1
33,247,289,1
65,82,135,1
25,331,5,1
52,294,219,1
27,338,37,1
44,118,47,1
33,7,174,1
48,223,76,0
43,239,260,1
18,258,353,1
47,53,197,1
55,62,271,1
29,168,134,1
31,202,126,1
20,114,246,1
61,232,341,1
30,92,143,1
25,301,208,1
57,204,256,1
35,190,230,1
18,155,56,1
46,339,271,1
33,242,242,1
34,168,200,1
22,173,85,1
39,232,108,1
39,304,343,1
56,97,0,1
54,225,183,1
40,46,337,1
32,152,337,1
43,293,145,1
20,254,245,1
62,183,283,1
41,116,207,1
38,27,358,1
19,26,73,1
47,49,340,1
28,230,130,1
38,12,15,1
52,39,127,1
39,171,167,1
58,182,192,1
28,327,106,1
49,160,129,1
34,54,18,1
50,126,239,1
62,170,197,1
35,68,182,1
22,145,88,1
39,357,31,1
55,2,78,1
63,193,317,1
53,17,147,1
24,284,207,1
56,104,26,1
62,253,141,0
21,265,309,1
31,111,276,1
24,239,316,1
23,16,25,1
47,10,199,1
39,47,287,1
35,198,73,1
20,136,191,1
54,307,202,1
61,35,237,1
59,76,252,1
39,202,10,1
56,340,215,1
23,195,55,1
57,248,229,1
34,265,216,1
36,105,266,1
45,188,307,1
43,3,118,1
65,149,55,0
32,342,324,1
36,4,237,1
41,84,218,1
55,115,152,1
35,327,329,1
24,308,278,1
63,89,134,1
49,186,35,1
24,10,243,1
21,47,300,1
38,75,263,1
29,196,29,1
38,135,308,1
44,223,51,0
39,160,259,1
40,226,340,1
51,208,33,0
33,272,357,1
25,214,191,1
46,122,61,1
27,92,324,1
57,301,123,0
57,207,11,1
23,311,360,1
40,359,166,1
50,327,195,1
28,172,122,1
22,27,96,1
63,21,255,1
20,193,292,1
37,159,124,1
44,331,291,1
61,343,323,1
34,296,341,1
42,344,244,1
38,42,205,1
36,315,250,1
33,165,333,1
27,149,262,1
63,295,289,1
20,155,166,1
21,139,318,1
42,120,112,1
44,339,37,1
28,358,207,1
45,287,324,1
47,210,207,1
30,129,80,1
56,175,96,1
65,348,355,1
32,97,184,1
26,288,186,1
59,106,4,1
32,278,202,1
56,8,144,1
45,227,292,1
36,140,116,1
48,281,99,0
19,234,56,1
49,259,230,1
49,330,55,1
56,168,349,1
39,255,310,1
55,259,321,1
51,231,100,0
54,250,192,1
27,193,121,1
45,140,71,1
22,111,321,1
64,219,95,0
63,292,328,1
35,109,284,1
51,226,256,1
21,68,208,1
61,331,92,0
27,128,186,1
43,230,259,1
56,153,19,1
36,194,277,1
28,289,175,1
35,99,120,1
42,310,31,1
60,304,48,0
51,329,23,1
30,252,348,1
62,166,355,1
21,160,201,1
41,98,153,1
35,344,92,1
21,191,313,1
23,159,128,1
53,252,12,1
48,197,348,1
21,339,138,1
63,105,337,1
29,32,219,1
25,348,185,1
51,311,87,0
46,333,127,1
19,68,64,1
25,20,207,1
34,273,89,0
57,169,54,1
20,111,125,1
36,353,107,1
45,317,115,0
51,218,112,1
32,223,66,1
64,12,323,1
53,351,81,1
62,120,309,1
57,40,151,1
59,245,253,1
51,286,339,1
21,233,184,1
25,34,252,1
62,234,355,0
55,160,351,1
52,31,159,1
50,261,117,0
21,151,3,1
35,266,197,1
55,199,3,1
19,81,233,1
58,67,33,1
39,346,187,1
31,129,188,1
61,164,237,1
23,5,81,1
24,112,7,1
64,91,314,1
46,6,276,1
51,279,58,0
29,310,9,1
33,259,18,1
24,137,36,1
36,241,83,0
54,273,143,0
55,60,200,1
22,256,141,1
22,92,182,1
18,94,356,1
51,311,137,0
35,288,195,1
31,85,107,1
60,189,90,0
44,73,79,1
54,329,187,1
51,286,103,0
47,53,348,1
32,183,337,1
35,40,46,1
20,333,250,1
40,33,251,1
62,3,255,1
37,108,115,1
40,211,44,1
30,60,82,1
54,205,309,1
38,117,284,1
61,192,200,1
20,138,16,1
35,128,351,1
19,76,162,1
35,220,43,1
45,275,175,1
21,174,138,1
37,255,347,1
55,123,43,1
33,107,167,1
36,164,57,1
45,198,239,1
46,191,121,1
32,107,130,1
48,83,305,1
35,278,190,1
42,76,99,1
38,145,76,1
19,322,111,1
59,199,344,1
49,248,217,1
50,247,121,0
65,209,4,1
56,353,292,1
55,309,102,0
25,263,80,1
54,310,203,1
24,304,307,1
56,312,106,0
54,229,166,1
22,223,33,1
27,66,44,1
19,103,280,1
56,104,185,1
22,352,5,1
37,312,180,1
28,109,127,1
28,167,108,1
39,22,278,1
58,89,44,1
47,84,200,1
57,92,125,1
52,66,359,1
51,17,3,1
21,2,356,1
19,17,319,1
33,47,31,1
38,297,293,1
65,30,44,1
30,324,193,1
65,268,67,0
38,129,244,1
42,341,33,1
58,308,328,1
19,64,255,1
58,308,3,1
51,199,143,1
33,71,247,1
22,338,330,1
35,268,165,1
31,103,346,1
22,157,235,1
55,257,86,0
50,147,114,1
38,1,202,1
38,102,64,1
21,353,221,1
48,107,28,1
47,271,319,1
18,336,177,1
38,189,294,1
27,19,329,1
53,199,163,1
45,285,283,1
58,11,301,1
36,87,346,1
25,128,336,1
33,300,62,1
53,156,37,1
47,242,12,1
50,356,317,1
38,31,312,1
39,93,75,1
20,284,344,1
45,52,66,1
43,10,104,1
52,343,124,0
47,171,265,1
53,305,207,1
56,217,53,0
24,285,155,1
23,185,300,1
24,35,108,1
50,161,53,1
51,243,27,0
36,326,287,1
59,259,43,0
45,162,134,1
53,82,323,1
43,24,280,1
18,291,78,1
64,52,117,1
60,282,144,0
37,241,69,0
37,70,253,1
61,171,21,1
57,165,325,1
61,87,103,1
21,335,174,1
64,206,187,1
35,261,93,0
52,101,331,1
46,182,252,1
23,345,83,1
32,283,113,1
31,269,54,1
41,160,165,1
57,354,270,1
43,70,106,1
40,218,293,1
41,294,301,1
50,359,39,1
64,314,234,1
27,26,193,1
20,20,175,1
48,47,38,1
38,340,279,1
25,47,115,1
63,318,71,0
44,109,253,1
45,211,139,1
51,194,180,1
64,223,24,0
30,54,165,1
40,8,200,1
22,111,51,1
61,50,77,1
60,243,41,0
46,168,75,1
62,86,326,1
26,292,195,1
19,180,105,1
37,68,346,1
21,53,283,1
59,60,65,1
62,222,124,0
32,71,51,1
26,270,272,1
34,36,133,1
35,40,157,1
24,320,132,1
55,225,267,1
49,154,48,1
31,356,276,1
52,50,338,1
50,122,350,1
46,240,319,1
51,261,7,1
49,296,343,1
43,356,237,1
40,265,130,1
34,264,108,1
52,45,62,1
60,354,170,1
41,337,125,1
31,304,353,1
46,313,349,1
20,124,5,1
18,169,199,1
60,337,271,1
21,66,284,1
28,20,168,1
36,55,184,1
45,297,178,1
30,99,70,1
37,147,274,1
56,17,92,1
50,239,313,1
33,204,69,1
63,106,267,1
26,332,124,1
26,313,270,1
30,171,294,1
51,51,317,1
54,323,253,1
23,219,241,1
56,331,12,1
27,219,59,1
49,152,253,1
44,281,150,1
59,72,342,1
26,156,237,1
32,31,204,1
48,128,86,1
29,118,308,1
51,100,224,1
52,147,286,1
60,18,13,1
40,121,279,1
20,92,192,1
26,77,303,1
39,244,254,1
49,64,48,1
35,16,178,1
42,263,85,0
28,92,265,1
25,316,301,1
23,273,4,1
29,175,75,1
50,346,273,1
62,248,351,0
38,267,264,1
24,165,66,1
21,304,153,1
29,8,193,1
49,189,321,1
58,213,276,1
20,138,113,1
23,35,117,1
49,350,287,1
64,107,345,1
34,55,244,1
35,18,49,1
65,88,318,1
45,259,205,1
51,111,135,1
41,320,18,1
46,320,215,1
53,103,20,1
28,180,203,1
57,117,46,1
64,208,265,1
64,315,338,1
27,151,64,1
21,148,347,1
51,24,62,1
59,286,40,0
30,188,200,1
34,84,276,1
56,266,284,1
54,240,2,1
33,182,99,1
23,66,242,1
21,236,82,1
40,217,176,1
34,204,2,1
51,50,154,1
39,177,188,1
46,20,269,1
58,266,107,0
50,59,275,1
40,328,256,1
65,282,356,0
61,283,157,0
53,261,115,0
58,351,56,1
51,260,99,0
51,326,184,1
58,197,21,1
46,289,204,1
58,245,119,0
43,41,27,1
39,72,303,1
56,337,243,1
30,332,333,1
45,167,62,1
47,13,353,1
45,275,54,0
20,166,42,1
42,14,269,1
53,2,197,1
42,280,217,1
58,163,18,1
29,108,294,1
59,191,132,1
37,265,18,1
36,261,121,1
45,282,136,0
18,67,123,1
33,185,231,1
35,16,108,1
45,5,123,1
50,22,245,1
19,307,167,1
37,29,319,1
48,291,211,1
29,23,326,1
40,128,34,1
58,222,28,0
27,134,253,1
36,59,259,1
48,318,229,1
37,111,338,1
56,284,74,0
39,246,316,1
38,120,317,1
62,205,359,1
47,283,208,1
54,281,269,1
41,99,40,1
27,174,216,1
56,60,43,1
41,233,258,1
31,162,156,1
25,130,13,1
64,210,26,0
54,27,159,1
22,284,302,1
61,39,45,1
37,120,110,1
50,286,222,1
34,116,48,1
24,97,31,1
33,293,104,1
57,108,204,1
43,276,262,1
21,229,35,1
35,66,154,1
54,249,222,1
48,65,165,1
31,200,205,1
23,95,153,1
56,194,227,1
63,163,208,1
18,40,353,1
58,79,116,1
39,16,22,1
33,312,110,1
56,220,28,0
62,109,179,1
36,48,274,1
55,254,260,1
18,298,307,1
46,74,178,1
49,291,258,1
60,91,19,1
62,145,275,1
25,19,358,1
44,238,122,1
58,50,4,1
57,162,238,1
62,349,165,1
61,338,332,1
21,188,69,1
32,7,284,1
19,14,99,1
49,96,292,1
23,4,303,1
44,247,286,1
26,350,284,1
48,309,104,0
32,15,143,1
32,13,354,1
34,295,228,1
37,146,306,1
29,223,276,1
42,55,335,1
41,97,54,1
21,46,36,1
32,152,299,1
56,310,5,1
57,355,27,1
29,35,359,1
50,62,53,1
64,289,161,0
21,346,306,1
64,351,254,1
32,358,187,1
51,306,60,0
33,36,17,1
25,359,97,1
29,11,48,1
46,266,189,1
45,278,183,1
23,22,326,1
20,294,337,1
45,134,339,1
56,350,233,1
31,131,19,1
29,30,68,1
61,2,281,1
23,122,122,1
44,65,148,1
40,343,183,1
53,54,204,1
34,143,242,1
58,101,80,1
38,1,55,1
40,133,219,1
42,36,291,1
21,158,336,1
38,288,198,1
37,239,179,1
35,184,177,1
25,243,271,1
42,329,217,1
21,48,210,1
54,279,130,0
59,33,281,1
32,166,163,1
42,8,240,1
24,271,208,1
51,264,270,1
52,338,311,1
60,150,51,1
56,49,299,1
61,304,234,1
35,169,318,1
29,226,327,1
20,343,75,1
40,299,152,1
19,255,355,1
56,170,176,1
19,128,229,1
21,81,117,1
48,241,120,1
62,105,142,1
48,71,309,1
28,213,55,1
65,242,139,0
40,73,197,1
53,193,196,1
58,188,52,0
30,122,60,1
53,91,356,1
63,93,244,1
63,119,56,1
41,347,320,1
28,176,250,1
41,303,3,1
55,331,93,0
29,278,223,1
62,42,203,1
61,24,60,1
64,244,234,1
44,280,14,1
22,292,113,1
46,137,209,1
55,290,261,1
49,263,278,1
23,296,171,1
26,237,35,1
33,357,227,1
27,246,63,1
56,339,266,1
31,101,222,1
30,179,17,1
32,20,38,1
25,23,98,1
34,321,288,1
27,194,223,1
54,253,146,0
31,218,316,1
61,301,199,1
45,230,168,1
39,62,101,1
23,296,132,1
64,226,38,0
47,262,111,0
43,252,33,1
23,283,190,1
59,1,29,1
43,278,69,0
28,30,291,1
57,98,328,1
46,141,77,1
48,170,218,1
49,294,169,1
27,206,329,1
48,46,301,1
62,324,205,1
32,30,304,1
59,319,166,0
60,199,175,1
30,180,22,1
58,255,209,1
29,171,188,1
46,178,14,1
32,124,125,1
47,1,9,1
58,67,296,1
57,96,52,1
53,259,307,1
32,50,75,1
36,265,255,1
22,192,62,1
46,59,266,1
57,18,169,1
62,11,301,1
49,297,56,0
49,145,265,1
63,318,318,1
38,267,25,1
27,240,75,1
57,237,330,1
32,67,340,1
56,338,273,1
38,152,267,1
38,228,298,1
27,333,86,1
44,331,8,1
25,161,273,1
41,219,58,1
27,33,208,1
36,358,330,1
31,82,20,1
27,40,333,1
27,218,286,1
27,248,202,1
48,10,166,1
58,345,289,1
53,259,150,0
33,125,257,1
20,151,250,1
41,351,244,1
60,209,37,0
62,193,190,1
39,79,9,1
48,142,231,1
23,254,93,1
21,126,227,1
19,241,246,1
35,41,125,1
27,260,20,1
39,346,189,1
62,332,251,1
35,205,246,1
30,290,20,1
20,137,183,1
47,267,86,0
33,242,35,1
26,46,102,1
58,226,160,1
61,186,264,1
32,178,120,1
41,343,9,1
21,309,65,1
35,210,209,1
34,192,168,1
31,264,65,1
43,268,40,1
56,69,139,1
23,104,287,1
59,129,89,1
27,128,258,1
27,43,153,1
38,176,293,1
54,252,122,0
32,284,130,1
23,134,307,1
54,138,120,1
31,342,72,1
44,126,285,1
57,165,184,1
58,172,57,1
30,351,341,1
57,77,107,1
64,283,69,0
60,165,237,1
24,107,187,1
64,351,301,1
52,305,144,0
23,167,78,1
61,139,176,1
28,344,74,1
20,74,200,1
19,31,147,1
18,338,11,1
50,175,87,1
26,316,66,1
48,359,318,1
35,196,225,1
33,13,42,1
38,324,45,1
46,206,261,1
34,17,307,1
35,104,47,1
22,343,137,1
54,119,167,1
40,342,15,1
63,38,81,1
30,192,344,1
40,152,185,1
37,76,324,1
18,60,271,1
23,131,296,1
27,151,100,1
42,313,208,1
25,113,247,1
59,353,202,1
39,354,190,1
51,63,269,1
63,330,109,0
51,218,237,1
57,211,228,1
31,117,262,1
60,56,357,1
18,307,153,1
62,81,17,1
48,228,151,1
38,74,72,1
46,92,290,1
28,223,245,1
57,253,73,0
51,150,304,1
21,112,84,1
41,192,135,1
44,114,160,1
27,104,31,1
49,22,15,1
52,63,346,1
20,136,302,1
62,94,206,1
28,257,98,1
62,238,240,1
64,75,194,1
34,70,140,1
54,126,259,1
21,294,177,1
52,305,227,1
46,50,146,1
45,245,315,1
45,62,225,1
41,32,349,1
50,241,314,1
49,292,129,0
45,266,228,1
60,140,68,1
35,20,69,1
25,115,207,1
46,184,215,1
31,295,35,1
19,109,192,1
57,145,66,1
58,293,239,1
28,243,226,1
61,62,178,1
49,150,70,1
64,306,145,0
45,223,19,1
40,293,261,1
31,5,137,1
19,147,309,1
37,201,278,1
27,334,30,1
51,326,177,1
40,180,214,1
61,289,89,0
61,110,332,1
27,92,284,1
53,303,287,1
25,7,20,1
22,115,64,1
39,140,256,1
54,41,230,1
25,75,198,1
49,118,128,1
27,102,106,1
52,110,147,1
37,121,203,1
34,291,182,1
45,257,139,1
46,309,267,1
23,255,309,1
26,212,266,1
42,106,313,1
63,24,359,1
29,208,315,1
18,286,227,1
64,233,61,0
46,108,57,1
31,236,45,1
53,281,99,0
54,80,57,1
47,166,220,1
59,26,129,1
58,224,34,0
32,122,321,1
62,213,199,1
23,281,71,1
19,121,352,1
47,178,6,1
26,137,314,1
49,342,218,1
27,108,138,1
61,156,285,1
29,90,17,1
26,305,320,1
47,249,38,0
34,82,256,1
45,57,249,1
23,229,298,1
39,217,289,1
63,241,214,1
33,341,216,1
65,225,227,1
28,250,344,1
36,308,292,1
37,112,108,1
47,130,236,1
39,56,338,1
61,107,65,1
58,108,253,1
39,175,58,1
37,235,224,1
56,340,131,0
35,90,113,1
61,259,169,0
34,279,160,1
43,289,72,0
41,155,201,1
26,109,26,1
32,46,315,1
41,181,165,1
47,226,114,1
22,29,76,1
59,129,31,1
58,211,157,1
28,336,320,1
36,86,288,1
38,47,174,1
25,235,283,1
56,82,101,1
49,299,351,1
56,231,230,1
60,300,132,0
23,175,303,1
29,287,312,1
39,88,357,1
37,278,294,1
44,288,210,1
26,59,24,1
35,244,11,1
64,211,22,0
42,279,109,0
25,297,106,1
65,229,54,0
55,132,282,1
19,59,327,1
47,190,144,1
19,290,83,1
38,306,230,1
34,52,5,1
35,288,107,0
42,194,171,1
39,74,348,1
42,157,302,1
55,74,348,1
56,208,332,1
57,183,250,1
56,211,139,1
56,339,189,1
57,316,168,0
23,172,82,1
48,96,338,1
57,93,80,1
20,10,351,1
56,255,123,0
42,90,62,1
62,115,265,1
23,269,49,1
45,329,351,1
49,249,190,1
32,164,190,1
40,220,108,1
59,98,262,1
44,179,65,1
46,249,319,1
50,295,175,1
61,106,84,1
40,129,11,1
55,104,51,1
44,268,86,0
47,95,220,1
63,246,254,1
50,172,218,1
48,82,11,1
28,237,123,1
54,268,129,0
64,354,355,1
30,352,151,1
22,268,246,1
57,174,89,1
63,60,313,1
27,341,316,1
44,268,352,1
32,214,100,1
20,352,287,1
33,124,146,1
30,75,40,1
34,49,196,1
64,328,38,1
24,221,301,1
21,275,49,1
22,97,27,1
36,355,61,1
62,62,352,1
21,284,264,1
23,285,44,1
58,113,24,1
55,197,63,0
58,191,291,1
26,115,345,1
42,264,322,1
53,105,341,1
39,338,132,1
50,334,72,1
56,150,256,1
28,315,339,1
63,339,105,0
36,115,259,1
25,222,324,1
50,108,219,1
62,51,194,1
28,148,61,1
51,56,215,1
39,229,330,1
34,187,132,1
39,296,195,1
48,47,156,1
35,311,91,1
